rank,name,rate,quote,staff
54,狮子王,9.1,动物版《哈姆雷特》。,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff/主演: 乔纳森·泰勒·托马
55,教父2,9.2,优雅的孤独。,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola/主演: 阿尔·帕西诺 A
56,死亡诗社,9.1,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,导演: 彼得·威尔 Peter Weir/主演: 罗宾·威廉姆斯 Robin Williams / 罗伯
57,搏击俱乐部,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,导演: 大卫·芬奇 David Fincher/主演: 爱德华·诺顿 Edward Norton / 布拉
58,黑客帝国,9.0,视觉革命。,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski/主
59,让子弹飞,8.9,你给我翻译翻译，神马叫做TMD的惊喜。,导演: 姜文 Wen Jiang/主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F
60,绿皮书,8.9,去除成见，需要勇气。,导演: 彼得·法雷里 Peter Farrelly/主演: 维果·莫腾森 Viggo Mortensen /
61,饮食男女,9.1,人生不能像做菜，把所有的料都准备好了才下锅。,导演: 李安 Ang Lee/主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴
62,美丽心灵,9.0,爱是一切逻辑和原由。,导演: 朗·霍华德 Ron Howard/主演: 罗素·克劳 Russell Crowe / 艾德·哈
63,海蒂和爷爷,9.2,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,导演: 阿兰·葛斯彭纳 Alain Gsponer/主演: 阿努克·斯特芬 Anuk Steffen /
64,窃听风暴,9.2,别样人生。,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n
65,两杆大烟枪,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,导演: Guy Ritchie/主演: Jason Flemyng / Dexter Fletcher / Nick Moran
66,本杰明·巴顿奇事,8.9,在时间之河里感受溺水之苦。,导演: 大卫·芬奇 David Fincher/主演: 凯特·布兰切特 Cate Blanchett /
67,情书,8.9,暗恋的极致。,导演: 岩井俊二 Shunji Iwai/主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets
68,看不见的客人,8.8,你以为你以为的就是你以为的。,导演: 奥里奥尔·保罗 Oriol Paulo/主演: 马里奥·卡萨斯 Mario Casas / 阿
69,飞越疯人院,9.1,自由万岁。,导演: 米洛斯·福尔曼 Miloš Forman/主演: 杰克·尼科尔森 Jack Nichols
70,穿条纹睡衣的男孩,9.1,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,导演: 马克·赫尔曼 Mark Herman/主演: 阿萨·巴特菲尔德 Asa Butterfield
71,西西里的美丽传说,8.9,美丽无罪。,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore/主演: 莫妮卡·贝鲁奇 Monica
72,拯救大兵瑞恩,9.0,美利坚精神输出大片No1.,导演: 史蒂文·斯皮尔伯格 Steven Spielberg/主演: 汤姆·汉克斯 Tom Hanks
73,小鞋子,9.2,奔跑的孩子是天使。,导演: 马基德·马基迪 Majid Majidi/主演: 法拉赫阿米尔·哈什米安 Amir Fa
74,音乐之声,9.1,用音乐化解仇恨，让歌声串起美好。,导演: 罗伯特·怀斯 Robert Wise/主演: 朱莉·安德鲁斯 Julie Andrews / 克
75,阿凡达,8.8,绝对意义上的美轮美奂。,导演: 詹姆斯·卡梅隆 James Cameron/主演: 萨姆·沃辛顿 Sam Worthington
76,海豚湾,9.3,海豚的微笑，是世界上最高明的伪装。,导演: 路易·西霍尤斯 Louie Psihoyos/主演: Richard O'Barry / 路易·西霍
77,致命魔术,8.9,孪生蝙蝠侠大战克隆金刚狼。,导演: 克里斯托弗·诺兰 Christopher Nolan/主演: 休·杰克曼 Hugh Jackman
78,美国往事,9.2,往事如烟，无处祭奠。,导演: 赛尔乔·莱翁内 Sergio Leone/主演: 罗伯特·德尼罗 Robert De Niro
79,沉默的羔羊,8.9,安东尼·霍普金斯的顶级表演。,导演: 乔纳森·戴米 Jonathan Demme/主演: 朱迪·福斯特 Jodie Foster / 安
80,禁闭岛,8.8,昔日翩翩少年，今日大腹便便。,导演: Martin Scorsese/主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio /
81,蝴蝶效应,8.8,人的命运被自己瞬间的抉择改变。,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber/主
